Wavelength,Intensity
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.028493150684931003
402,0.0321330724070445
403,0.0374520547945194
404,0.0450958904109576
405,0.052739726027395795
406,0.06410958904109461
407,0.07684931506849199
408,0.0945205479452043
409,0.11574380124710909
410,0.1349315068493136
411,0.1540410958904091
412,0.1835616438356154
413,0.21068493150684842
414,0.24041095890410819
415,0.2979125055236622
416,0.3484931506849287
417,0.4091780821917777
418,0.46383561643835525
419,0.5253424657534239
420,0.5890410958904109
421,0.6613698630136968
422,0.7736986301369907
423,0.8823287671232942
424,0.9797260273972592
425,1.0513698630136945
426,1.1471232876712274
427,1.2863698630136953
428,1.3852054794520516
429,1.5017808219178064
430,1.6170487553395683
431,1.7300684931506836
432,1.8301369863013663
433,1.9495890410958867
434,2.016986301369862
435,2.178767123287669
436,2.2480821917808202
437,2.3663437914332683
438,2.4800000000000013
439,2.5971232876712342
440,2.7123287671232843
441,2.846575342465752
442,2.9197260273972567
443,2.9744520547945186
444,2.9923862129916072
445,2.9801369863013702
446,2.9002739726027436
447,2.7879452054794553
448,2.6621917808219226
449,2.5315068493150736
450,2.2794520547945267
451,2.1065762262552608
452,1.8673972602739795
453,1.6754794520548013
454,1.4493150684931557
455,1.318493150684928
456,1.2131506849315117
457,1.1058904109589038
458,0.9980138459269945
459,0.9400033878328873
460,0.8589041095890433
461,0.8053424657534256
462,0.7586301369863007
463,0.674520547945206
464,0.6235616438356164
465,0.5726027397260295
466,0.5218308047332731
467,0.4873059360730605
468,0.4424657534246598
469,0.3898630136986305
470,0.3643835616438354
471,0.33979452054794457
472,0.3206849315068482
473,0.30168669907206513
474,0.28876712328767074
475,0.2760273972602742
476,0.25972602739726053
477,0.24542465753424597
478,0.2403287671232871
479,0.2352328767123285
480,0.2294520547945203
481,0.22308219178082161
482,0.2167123287671232
483,0.21299086757990793
484,0.21511415525114097
485,0.2172374429223741
486,0.21961643835616412
487,0.22471232876712302
488,0.2298082191780819
489,0.2379452054794518
490,0.250684931506848
491,0.2634246575342448
492,0.2761643835616422
493,0.28972602739725806
494,0.3109589041095876
495,0.33630136986301257
496,0.3660273972602736
497,0.3920547945205476
498,0.4175342465753421
499,0.4430136986301363
500,0.47671232876712116
501,0.5076712328767116
502,0.5373515981735157
503,0.5713242009132414
504,0.6015525114155256
505,0.6324200913242016
506,0.6663926940639261
507,0.7031506849315041
508,0.7420050081012579
509,0.7927612314033734
510,0.8191780821917793
511,0.8446575342465735
512,0.8770776255707736
513,0.9106164383561622
514,0.9421917808219173
515,0.9719178082191773
516,1.0060273972602722
517,1.0414383561643814
518,1.073287671232875
519,1.1020547945205468
520,1.1232876712328752
521,1.1473972602739706
522,1.1726027397260257
523,1.1938356164383546
524,1.2131506849315052
525,1.230136986301368
526,1.2462328767123274
527,1.2621575342465738
528,1.278082191780821
529,1.2940068493150676
530,1.3093607305936066
531,1.3242237442922364
532,1.3390867579908667
533,1.3513013698630127
534,1.3576712328767115
535,1.3640410958904101
536,1.3704109589041087
537,1.3767808219178073
538,1.383150684931506
539,1.3888584474885837
540,1.3945205479452047
541,1.4001826484018258
542,1.405844748858447
543,1.4113111545988253
544,1.414951076320939
545,1.4185909980430522
546,1.4222309197651657
547,1.4246575342465748
548,1.4246575342465748
549,1.4246575342465748
550,1.4246575342465748
551,1.4246575342465748
552,1.425557729941291
553,1.4273776908023477
554,1.4291976516634046
555,1.4310176125244616
556,1.4315068493150682
557,1.4315068493150682
558,1.4315068493150682
559,1.4314986006775294
560,1.4297455968688841
561,1.4279256360078274
562,1.4261056751467707
563,1.4239138943248526
564,1.4202739726027391
565,1.416634050880626
566,1.4129941291585129
567,1.4093542074363992
568,1.4057142857142857
569,1.4020743639921722
570,1.3984344422700588
571,1.3947945205479453
572,1.3911545988258318
573,1.3875146771037183
574,1.3838747553816049
575,1.378386605783866
576,1.3727245053272452
577,1.367062404870624
578,1.361400304414003
579,1.3556849315068493
580,1.3493150684931507
581,1.3429452054794522
582,1.3365753424657536
583,1.3288527397260275
584,1.3208904109589046
585,1.3129280821917813
586,1.304965753424658
587,1.29554794520548
588,1.2849315068493157
589,1.274315068493151
590,1.2636986301369868
591,1.2530821917808221
592,1.2424657534246581
593,1.2318493150684935
594,1.2212328767123295
595,1.210616438356165
596,1.2000000000000013
597,1.1893835616438362
598,1.1787671232876717
599,1.1681506849315069
600,1.1547945205479453
601,1.139931506849315
602,1.1250684931506854
603,1.1110958904109594
604,1.0983561643835622
605,1.085616438356165
606,1.072876712328768
607,1.060136986301371
608,1.0473972602739736
609,1.0346575342465765
610,1.0219178082191793
611,1.0097431506849324
612,0.9985958904109595
613,0.9874486301369868
614,0.9763013698630141
615,0.9648251951687556
616,0.9478538812785393
617,0.9308675799086765
618,0.9138812785388136
619,0.8990924657534253
620,0.884760273972603
621,0.870428082191781
622,0.8560958904109588
623,0.8406849315068492
624,0.8243052837573386
625,0.8079256360078275
626,0.7915459882583169
627,0.7779452054794518
628,0.7652054794520544
629,0.752465753424657
630,0.7396824274561584
631,0.7251663405088059
632,0.7106066536203519
633,0.6960469667318979
634,0.6823483365949117
635,0.6714285714285712
636,0.6605088062622303
637,0.6495890410958898
638,0.6378082191780816
639,0.6250684931506845
640,0.6123287671232874
641,0.5995890410958903
642,0.5868493150684929
643,0.5741095890410958
644,0.561437030490498
645,0.5504892367906065
646,0.539569471624266
647,0.5286497064579255
648,0.5180821917808218
649,0.508527397260274
650,0.498972602739726
651,0.48941780821917813
652,0.4798630136986305
653,0.46726027397260295
654,0.45452054794520513
655,0.44275929549902093
656,0.43365949119373737
657,0.4245596868884538
658,0.4154598825831702
659,0.4061301369863013
660,0.3965753424657534
661,0.3870205479452055
662,0.3774657534246576
663,0.3680039138943249
664,0.3589041095890413
665,0.3498043052837574
666,0.3407045009784735
667,0.3318721461187212
668,0.32337899543378973
669,0.3148858447488579
670,0.3068493150684927
671,0.300479452054794
672,0.2941095890410953
673,0.2877397260273966
674,0.2813698630136982
675,0.27499999999999947
676,0.2686301369863008
677,0.2629549902152637
678,0.25749510763209327
679,0.2520352250489229
680,0.24655354249519978
681,0.24020547945205412
682,0.2338356164383557
683,0.2274657534246573
684,0.22109589041095862
685,0.21472602739726018
686,0.20835616438356153
687,0.2026849315068492
688,0.1975890410958903
689,0.19249315068493109
690,0.1886497064579253
691,0.1850097847358118
692,0.18136986301369828
693,0.1777299412915851
694,0.17409001956947132
695,0.17045009784735782
696,0.1668101761252443
697,0.1625636007827787
698,0.1571037181996083
699,0.1516438356164382
700,0.1461839530332681
701,0.1422222222222222
702,0.13939117199391152
703,0.1365601217656011
704,0.13372907153729038
705,0.13089802130897998
706,0.12747553816046908
707,0.12383561643835558
708,0.12019569471624211
709,0.1165594390552713
710,0.11369863013698558
711,0.1108675799086752
712,0.10803652968036481
713,0.10520547945205438
714,0.10246575342465719
715,0.1003424657534244
716,0.0982191780821916
717,0.0960958904109585
718,0.09397260273972571
719,0.09184931506849289
720,0.0897260273972601
721,0.087602739726027
722,0.08547945205479421
723,0.08335616438356111
724,0.081232876712328
725,0.0791095890410952
726,0.0769863013698624
727,0.0748630136986296
728,0.0727397260273968
729,0.070616438356164
730,0.0684931506849312
731,0.0663698630136981
732,0.0642465753424653
733,0.062123287671232194
734,0.05967123287671171
735,0.057123287671232106
736,0.0547945205479443
737,0.0547945205479443
738,0.0547945205479443
739,0.0547945205479443
740,0.0529680365296797
741,0.050844748858446906
742,0.0487214611872141
743,0.046598173515981306
744,0.0444748858447485
745,0.042351598173515706
746,0.0403522504892364
747,0.038532289628179804
748,0.0367123287671232
749,0.0348923679060663
750,0.0342465753424656
751,0.0342465753424656
752,0.0342465753424656
753,0.0342465753424656
754,0.0342465753424656
755,0.0342465753424656
756,0.0342465753424656
757,0.0340313111545986
758,0.0322113502935417
759,0.030391389432485098
760,0.0285714285714282
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
