Wavelength,Intensity
350,0.020249140573369726
351,0.028035759147328518
352,0.021077217326269902
353,0.026483295483069054
354,0.025485012989278334
355,0.04248458529936327
356,0.05350741604365129
357,0.06338893345610398
358,0.07989607122223187
359,0.11021869149592876
360,0.1492090399041253
361,0.19421820229289072
362,0.2512313718513352
363,0.3182271221176752
364,0.4023163059536516
365,0.49192591046381673
366,0.5704329081818661
367,0.631629473133929
368,0.6858202476374967
369,0.7364187821043573
370,0.7818690168312962
371,0.7999694494104742
372,0.8078114674765438
373,0.790730585096106
374,0.7737018988061739
375,0.7299961979344212
376,0.7066731656817765
377,0.6771503550370136
378,0.6462600786183114
379,0.6125295336836272
380,0.5662012806359175
381,0.5347311252787748
382,0.5170504210116978
383,0.47254929601631884
384,0.4312592064381
385,0.39779311743593987
386,0.35922183289562387
387,0.323565946283929
388,0.30626491571617864
389,0.28628081536029326
390,0.26796285587095786
391,0.24223192876052504
392,0.2291853093130138
393,0.2081228000425955
394,0.19965934298665663
395,0.19962314019429328
396,0.18266185025996098
397,0.17590091351046042
398,0.1698543677636863
399,0.16761430866386173
400,0.16070234829336977
401,0.1674815634715503
402,0.16140860421371128
403,0.1585188570201461
404,0.15679824230199288
405,0.16156622919239655
406,0.15922995435561885
407,0.16303362518282352
408,0.16522705763382198
409,0.1607431658084997
410,0.1670998443659383
411,0.1762487019009812
412,0.17195881813584446
413,0.17595044181630057
414,0.1774805090870047
415,0.17573867595993728
416,0.17660167822252346
417,0.1864418367055508
418,0.18527315613150275
419,0.1803779279008898
420,0.1909971064573766
421,0.1974896133801264
422,0.19622835785453618
423,0.19944426628222706
424,0.21361479812056866
425,0.2129842101302036
426,0.2096700797330264
427,0.21678261854198178
428,0.22927870781112622
429,0.22488297387894182
430,0.23288427554648597
431,0.2384352442995811
432,0.23367157316577294
433,0.2318091042636364
434,0.24846935616072982
435,0.2655862890100015
436,0.25652753607977086
437,0.2662267075186576
438,0.27277538867367856
439,0.2692320687000587
440,0.2777367443011697
441,0.28884465169116397
442,0.3051014081870216
443,0.3002836798963854
444,0.315938948118719
445,0.32617184746620853
446,0.33161004166474084
447,0.3441531973298296
448,0.35153629596443964
449,0.37789078895117273
450,0.383198414291114
451,0.3929018154090463
452,0.4129217624218995
453,0.44795321762987456
454,0.4582949678589212
455,0.48478824958655764
456,0.5005099138650616
457,0.5240938245732628
458,0.5449381379704368
459,0.5876505095246971
460,0.6242940246719509
461,0.6545092873201743
462,0.7031581099679431
463,0.7370390913570286
464,0.7968451355757008
465,0.8800757356173159
466,0.9195404842466136
467,0.9875937221451739
468,1.086187521026087
469,1.1450050765708306
470,1.2441676006687101
471,1.2852996491636683
472,1.3672732271360541
473,1.4472895174442988
474,1.4982169071933251
475,1.5064693598033418
476,1.578236687831296
477,1.524378474029618
478,1.4875379312401367
479,1.465118105389207
480,1.372358030866858
481,1.3428695041873475
482,1.251722761089762
483,1.1967003720577214
484,1.1293084122898778
485,1.0589362338232737
486,1.0209470799824738
487,0.9769487498285155
488,0.9496499068985084
489,0.9124698557384798
490,0.8943071697085662
491,0.865757395760149
492,0.849069213121353
493,0.8213236420574462
494,0.7972274267743502
495,0.7830826253574042
496,0.7633540815700064
497,0.7419664826566625
498,0.7269774269616178
499,0.7082300689222664
500,0.6987618062575086
501,0.6890017334286028
502,0.6812560251620469
503,0.6718729988719095
504,0.6699774173321542
505,0.674338164052685
506,0.6722518861950854
507,0.6789364679001333
508,0.6869477492661112
509,0.6961855783571842
510,0.7134227949665434
511,0.7190447879154708
512,0.735423434088768
513,0.7536565646033012
514,0.7706457118939882
515,0.7913460287422169
516,0.8148940059444145
517,0.8343845742861535
518,0.8613581252227802
519,0.8817122368749849
