Wavelength,Intensity
847,1.025
848,0.998
849,0.971
850,0.987
851,1.003
852,0.988
853,0.973
854,0.925
855,0.877
856,0.944
857,1.011
858,1.004
859,0.997
860,0.997
861,0.997
862,0.998
863,0.999
864,0.9845
865,0.97
866,0.925
867,0.88
868,0.9235
869,0.967
870,0.9765
871,0.986
872,0.982
873,0.978
874,0.9795
875,0.981
876,0.9825
877,0.984
878,0.9715
879,0.959
880,0.9595
881,0.96
882,0.954
883,0.948
884,0.9555
885,0.963
886,0.955
887,0.947
888,0.948
889,0.949
890,0.9465
891,0.944
892,0.939
893,0.934
894,0.935
895,0.936
896,0.9375
897,0.939
898,0.9255
899,0.912
900,0.9085
901,0.905
902,0.905
903,0.905
904,0.899
905,0.893
906,0.892
907,0.891
908,0.876
909,0.861
910,0.8655
911,0.87
912,0.873
913,0.876
914,0.871
915,0.866
916,0.8625
917,0.859
918,0.8585
919,0.858
920,0.844
921,0.83
922,0.8255
923,0.821
924,0.823
925,0.825
926,0.8265
927,0.828
928,0.8305
929,0.833
930,0.8295
931,0.826
932,0.829
933,0.832
934,0.825
935,0.818
936,0.81
937,0.802
938,0.805
939,0.808
940,0.804
941,0.8
942,0.792
943,0.784
944,0.7915
945,0.799
946,0.796
947,0.793
948,0.785
949,0.777
950,0.7775
951,0.778
952,0.7745
953,0.771
954,0.7655
955,0.76
956,0.767
957,0.774
958,0.7725
959,0.771
960,0.769
961,0.767
962,0.767
963,0.767
964,0.7655
965,0.764
966,0.7605
967,0.757
968,0.7665
969,0.776
970,0.7695
971,0.763
972,0.7635
973,0.764
974,0.757
975,0.75
976,0.759
977,0.768
978,0.768
979,0.768
980,0.765
981,0.762
982,0.764
983,0.766
984,0.7685
985,0.771
986,0.7635
987,0.756
988,0.7615
989,0.767
990,0.7655
991,0.764
992,0.7595
993,0.755
994,0.7555
995,0.756
996,0.7495
997,0.743
998,0.743
999,0.743
1000,0.743571429
1001,0.744142857
1002,0.744714286
1003,0.7442
1004,0.7426
1005,0.741
1006,0.7394
1007,0.7378
1008,0.7367
